8 56 4
0 0 1 6.6
1 0 2 11.01
2 0 3 14.31
3 0 4 1.48
4 0 5 17.75
5 0 6 5.47
6 0 7 16.32
7 1 0 10.13
8 1 2 18.45
9 1 3 6.96
10 1 4 4.45
11 1 5 16.8
12 1 6 13.91
13 1 7 13.81
14 2 0 2.44
15 2 1 4.8
16 2 3 18.26
17 2 4 14.71
18 2 5 12.57
19 2 6 12.8
20 2 7 5.36
21 3 0 11.64
22 3 1 9.57
23 3 2 9.67
24 3 4 3.08
25 3 5 15.43
26 3 6 5.13
27 3 7 16.25
28 4 0 4.71
29 4 1 13.43
30 4 2 5.03
31 4 3 1.4
32 4 5 9.15
33 4 6 17.02
34 4 7 12.54
35 5 0 11.58
36 5 1 13.83
37 5 2 12.93
38 5 3 15.52
39 5 4 14.19
40 5 6 3.12
41 5 7 9.44
42 6 0 4.39
43 6 1 11.18
44 6 2 13.48
45 6 3 14.81
46 6 4 14.15
47 6 5 8.92
48 6 7 13.2
49 7 0 2.42
50 7 1 10.88
51 7 2 5.89
52 7 3 4.1
53 7 4 15.0
54 7 5 2.7
55 7 6 17.71
0 5 0 6 22 3 1 6.67
1 7 1 0 6 0 7 12.92
2 11 1 5 55 7 6 1.16
3 0 0 1 47 6 5 19.17
